Time	(reaction_1).k1	(reaction_2).k1	(reaction_2).k2	A.ParticleNumber	B.ParticleNumber	C.ParticleNumber
0	155	19.221	1.444	8.07794e-028	13.6224	181.328
0	155	19.221	1.672	0	15.6012	179.349
0	155	19.221	1.9	0	17.5373	177.413
0	155	19.221	2.128	0	19.432	175.518
0	155	19.221	2.356	8.07794e-028	21.2867	173.663
0	155	19.221	2.584	1.61559e-027	23.1025	171.847
0	155	19.221	2.812	-1.61559e-027	24.8808	170.069
0	155	19.221	3.04	8.07794e-028	26.6227	168.327


0	170	4.80525	0.76	8.07794e-028	26.6227	168.327
0	170	4.80525	0.988	-8.07794e-028	33.2474	161.703
0	170	4.80525	1.216	0	39.3704	155.58
0	170	4.80525	1.444	0	45.0467	149.903
0	170	4.80525	1.672	0	50.3233	144.627
0	170	4.80525	1.9	-8.07794e-028	55.241	139.709
0	170	4.80525	2.128	0	59.8354	135.115
0	170	4.80525	2.356	-1.61559e-027	64.1372	130.813
0	170	4.80525	2.584	8.07794e-028	68.1735	126.777
0	170	4.80525	2.812	8.07794e-028	71.9682	122.982
0	170	4.80525	3.04	8.07794e-028	75.5423	119.408

0	170	6.24682	0.76	-8.07794e-028	21.1454	173.805
0	170	6.24682	0.988	3.23117e-027	26.6227	168.327
0	170	6.24682	1.216	0	31.7653	163.185
0	170	6.24682	1.444	0	36.6031	158.347
0	170	6.24682	1.672	0	41.1622	153.788
0	170	6.24682	1.9	0	45.4662	149.484
0	170	6.24682	2.128	0	49.5358	145.414
0	170	6.24682	2.356	8.07794e-028	53.3897	141.56
0	170	6.24682	2.584	0	57.0446	137.905
0	170	6.24682	2.812	1.61559e-027	60.5155	134.434
0	170	6.24682	3.04	8.07794e-028	63.816	131.134

0	170	7.6884	0.76	-1.61559e-027	17.5373	177.413
0	170	7.6884	0.988	1.61559e-027	22.1994	172.751
0	170	7.6884	1.216	8.07794e-028	26.6227	168.327
0	170	7.6884	1.444	-8.07794e-028	30.8252	164.125
0	170	7.6884	1.672	0	34.8229	160.127
0	170	7.6884	1.9	0	38.6305	156.319
0	170	7.6884	2.128	8.07794e-028	42.2613	152.689
0	170	7.6884	2.356	0	45.7272	149.223
0	170	7.6884	2.584	2.42338e-027	49.0393	145.911
0	170	7.6884	2.812	8.07794e-028	52.2075	142.743
0	170	7.6884	3.04	-1.61559e-027	55.241	139.709

0	170	9.12997	0.76	8.07794e-028	14.981	179.969
0	170	9.12997	0.988	0	19.0365	175.914
0	170	9.12997	1.216	0	22.9132	172.037
0	170	9.12997	1.444	0	26.6227	168.327
0	170	9.12997	1.672	-8.07794e-028	30.1756	164.774
0	170	9.12997	1.9	0	33.5817	161.368
0	170	9.12997	2.128	0	36.8498	158.1
0	170	9.12997	2.356	1.61559e-027	39.9881	154.962
0	170	9.12997	2.584	0	43.0043	151.946
0	170	9.12997	2.812	0	45.9053	149.045
0	170	9.12997	3.04	8.07794e-028	48.6976	146.252

0	170	10.5715	0.76	-8.07794e-028	13.0752	181.875
0	170	10.5715	0.988	1.61559e-027	16.6625	178.288
0	170	10.5715	1.216	8.07794e-028	20.111	174.839
0	170	10.5715	1.444	0	23.4286	171.521
0	170	10.5715	1.672	8.07794e-028	26.6227	168.327
0	170	10.5715	1.9	8.07794e-028	29.7	165.25
0	170	10.5715	2.128	8.07794e-028	32.6668	162.283
0	170	10.5715	2.356	8.07794e-028	35.5289	159.421
0	170	10.5715	2.584	8.07794e-028	38.2919	156.658
0	170	10.5715	2.812	8.07794e-028	40.9607	153.989
0	170	10.5715	3.04	2.42338e-027	43.5401	151.41

0	170	12.0131	0.76	0	11.5995	183.35
0	170	12.0131	0.988	8.07794e-028	14.8149	180.135
0	170	12.0131	1.216	0	17.9195	177.031
0	170	12.0131	1.444	0	20.9189	174.031
0	170	12.0131	1.672	1.61559e-027	23.8183	171.132
0	170	12.0131	1.9	-8.07794e-028	26.6227	168.327
0	170	12.0131	2.128	-1.61559e-027	29.3367	165.613
0	170	12.0131	2.356	1.61559e-027	31.9645	162.985
0	170	12.0131	2.584	8.07794e-028	34.5103	160.44
0	170	12.0131	2.812	0	36.9777	157.972
0	170	12.0131	3.04	0	39.3704	155.58

0	170	13.4547	0.76	0	10.4232	184.527
0	170	13.4547	0.988	0	13.3362	181.614
0	170	13.4547	1.216	-8.07794e-028	16.1587	178.791
0	170	13.4547	1.444	-8.07794e-028	18.8948	176.055
0	170	13.4547	1.672	-8.07794e-028	21.5484	173.402
0	170	13.4547	1.9	0	24.1232	170.827
0	170	13.4547	2.128	8.07794e-028	26.6227	168.327
0	170	13.4547	2.356	0	29.0501	165.9
0	170	13.4547	2.584	1.61559e-027	31.4085	163.542
0	170	13.4547	2.812	0	33.7007	161.249
0	170	13.4547	3.04	8.07794e-028	35.9296	159.02

0	170	14.8963	0.76	0	9.46343	185.487
0	170	14.8963	0.988	0	12.1259	182.824
0	170	14.8963	1.216	8.07794e-028	14.713	180.237
0	170	14.8963	1.444	1.61559e-027	17.2278	177.722
0	170	14.8963	1.672	2.42338e-027	19.6735	175.276
0	170	14.8963	1.9	8.07794e-028	22.0528	172.897
0	170	14.8963	2.128	0	24.3684	170.582
0	170	14.8963	2.356	8.07794e-028	26.6227	168.327
0	170	14.8963	2.584	0	28.8182	166.132
0	170	14.8963	2.812	0	30.9572	163.993
0	170	14.8963	3.04	0	33.0419	161.908

0	170	16.3379	0.76	1.61559e-027	8.66553	186.284
0	170	16.3379	0.988	-1.61559e-027	11.1169	183.833
0	170	16.3379	1.216	0	13.5047	181.445
0	170	16.3379	1.444	1.61559e-027	15.8312	179.119
0	170	16.3379	1.672	8.07794e-028	18.0988	176.851
0	170	16.3379	1.9	1.61559e-027	20.3097	174.64
0	170	16.3379	2.128	8.07794e-028	22.466	172.484
0	170	16.3379	2.356	0	24.5697	170.38
0	170	16.3379	2.584	0	26.6227	168.327
0	170	16.3379	2.812	8.07794e-028	28.6268	166.323
0	170	16.3379	3.04	8.07794e-028	30.5838	164.366

0	170	17.7794	0.76	-8.07794e-028	7.99173	186.958
0	170	17.7794	0.988	0	10.263	184.687
0	170	17.7794	1.216	-8.07794e-028	12.4798	182.47
0	170	17.7794	1.444	-8.07794e-028	14.644	180.306
0	170	17.7794	1.672	8.07794e-028	16.7575	178.193
0	170	17.7794	1.9	8.07794e-028	18.8219	176.128
0	170	17.7794	2.128	-8.07794e-028	20.8391	174.111
0	170	17.7794	2.356	8.07794e-028	22.8107	172.139
0	170	17.7794	2.584	1.61559e-027	24.738	170.212
0	170	17.7794	2.812	0	26.6227	168.327
0	170	17.7794	3.04	8.07794e-028	28.4661	166.484

0	170	19.221	0.76	0	7.41514	187.535
0	170	19.221	0.988	0	9.53093	185.419
0	170	19.221	1.216	-8.07794e-028	11.5995	183.35
0	170	19.221	1.444	-1.61559e-027	13.6224	181.328
0	170	19.221	1.672	-8.07794e-028	15.6012	179.349
0	170	19.221	1.9	-8.07794e-028	17.5373	177.413
0	170	19.221	2.128	0	19.432	175.518
0	170	19.221	2.356	-1.61559e-027	21.2867	173.663
0	170	19.221	2.584	0	23.1025	171.847
0	170	19.221	2.812	0	24.8808	170.069
0	170	19.221	3.04	-8.07794e-028	26.6227	168.327


0	185	4.80525	0.76	8.07794e-028	26.6227	168.327
0	185	4.80525	0.988	-2.42338e-027	33.2474	161.703
0	185	4.80525	1.216	0	39.3704	155.58
0	185	4.80525	1.444	0	45.0467	149.903
0	185	4.80525	1.672	-8.07794e-028	50.3233	144.627
0	185	4.80525	1.9	8.07794e-028	55.241	139.709
0	185	4.80525	2.128	-8.07794e-028	59.8354	135.115
0	185	4.80525	2.356	0	64.1372	130.813
0	185	4.80525	2.584	-1.61559e-027	68.1735	126.777
0	185	4.80525	2.812	-8.07794e-028	71.9682	122.982
0	185	4.80525	3.04	-8.07794e-028	75.5423	119.408

0	185	6.24682	0.76	-2.42338e-027	21.1454	173.805
0	185	6.24682	0.988	-1.61559e-027	26.6227	168.327
0	185	6.24682	1.216	8.07794e-028	31.7653	163.185
0	185	6.24682	1.444	0	36.6031	158.347
0	185	6.24682	1.672	8.07794e-028	41.1622	153.788
0	185	6.24682	1.9	8.07794e-028	45.4662	149.484
0	185	6.24682	2.128	8.07794e-028	49.5358	145.414
0	185	6.24682	2.356	0	53.3897	141.56
0	185	6.24682	2.584	-1.61559e-027	57.0446	137.905
0	185	6.24682	2.812	8.07794e-028	60.5155	134.434
0	185	6.24682	3.04	8.07794e-028	63.816	131.134

0	185	7.6884	0.76	0	17.5373	177.413
0	185	7.6884	0.988	-8.07794e-028	22.1994	172.751
0	185	7.6884	1.216	0	26.6227	168.327
0	185	7.6884	1.444	8.07794e-028	30.8252	164.125
0	185	7.6884	1.672	-8.07794e-028	34.8229	160.127
0	185	7.6884	1.9	1.61559e-027	38.6305	156.319
0	185	7.6884	2.128	8.07794e-028	42.2613	152.689
0	185	7.6884	2.356	8.07794e-028	45.7272	149.223
0	185	7.6884	2.584	-3.23117e-027	49.0393	145.911
0	185	7.6884	2.812	0	52.2075	142.743
0	185	7.6884	3.04	-8.07794e-028	55.241	139.709

0	185	9.12997	0.76	1.61559e-027	14.981	179.969
0	185	9.12997	0.988	8.07794e-028	19.0365	175.914
0	185	9.12997	1.216	8.07794e-028	22.9132	172.037
0	185	9.12997	1.444	-8.07794e-028	26.6227	168.327
0	185	9.12997	1.672	1.61559e-027	30.1756	164.774
0	185	9.12997	1.9	-8.07794e-028	33.5817	161.368
0	185	9.12997	2.128	0	36.8498	158.1
0	185	9.12997	2.356	8.07794e-028	39.9881	154.962
0	185	9.12997	2.584	-2.42338e-027	43.0043	151.946
0	185	9.12997	2.812	0	45.9053	149.045
0	185	9.12997	3.04	1.61559e-027	48.6976	146.252

0	185	10.5715	0.76	8.07794e-028	13.0752	181.875
0	185	10.5715	0.988	0	16.6625	178.288
0	185	10.5715	1.216	8.07794e-028	20.111	174.839
0	185	10.5715	1.444	0	23.4286	171.521
0	185	10.5715	1.672	-8.07794e-028	26.6227	168.327
0	185	10.5715	1.9	0	29.7	165.25
0	185	10.5715	2.128	0	32.6668	162.283
0	185	10.5715	2.356	0	35.5289	159.421
0	185	10.5715	2.584	-1.61559e-027	38.2919	156.658
0	185	10.5715	2.812	0	40.9607	153.989
0	185	10.5715	3.04	8.07794e-028	43.5401	151.41

0	185	12.0131	0.76	1.61559e-027	11.5995	183.35
0	185	12.0131	0.988	0	14.8149	180.135
0	185	12.0131	1.216	8.07794e-028	17.9195	177.031
0	185	12.0131	1.444	8.07794e-028	20.9189	174.031
0	185	12.0131	1.672	0	23.8183	171.132
0	185	12.0131	1.9	-1.61559e-027	26.6227	168.327
0	185	12.0131	2.128	-1.61559e-027	29.3367	165.613
0	185	12.0131	2.356	-1.61559e-027	31.9645	162.985
0	185	12.0131	2.584	0	34.5103	160.44
0	185	12.0131	2.812	-8.07794e-028	36.9777	157.972
0	185	12.0131	3.04	-8.07794e-028	39.3704	155.58

0	185	13.4547	0.76	8.07794e-028	10.4232	184.527
0	185	13.4547	0.988	8.07794e-028	13.3362	181.614
0	185	13.4547	1.216	0	16.1587	178.791
0	185	13.4547	1.444	8.07794e-028	18.8948	176.055
0	185	13.4547	1.672	0	21.5484	173.402
0	185	13.4547	1.9	8.07794e-028	24.1232	170.827
0	185	13.4547	2.128	0	26.6227	168.327
0	185	13.4547	2.356	0	29.0501	165.9
0	185	13.4547	2.584	-8.07794e-028	31.4085	163.542
0	185	13.4547	2.812	0	33.7007	161.249
0	185	13.4547	3.04	1.61559e-027	35.9296	159.02

0	185	14.8963	0.76	0	9.46343	185.487
0	185	14.8963	0.988	8.07794e-028	12.1259	182.824
0	185	14.8963	1.216	1.61559e-027	14.713	180.237
0	185	14.8963	1.444	-8.07794e-028	17.2278	177.722
0	185	14.8963	1.672	0	19.6735	175.276
0	185	14.8963	1.9	0	22.0528	172.897
0	185	14.8963	2.128	-8.07794e-028	24.3684	170.582
0	185	14.8963	2.356	8.07794e-028	26.6227	168.327
0	185	14.8963	2.584	0	28.8182	166.132
0	185	14.8963	2.812	1.61559e-027	30.9572	163.993
0	185	14.8963	3.04	-8.07794e-028	33.0419	161.908

0	185	16.3379	0.76	-8.07794e-028	8.66553	186.284
0	185	16.3379	0.988	-8.07794e-028	11.1169	183.833
0	185	16.3379	1.216	-1.61559e-027	13.5047	181.445
0	185	16.3379	1.444	1.61559e-027	15.8312	179.119
0	185	16.3379	1.672	0	18.0988	176.851
0	185	16.3379	1.9	0	20.3097	174.64
0	185	16.3379	2.128	1.61559e-027	22.466	172.484
0	185	16.3379	2.356	-8.07794e-028	24.5697	170.38
0	185	16.3379	2.584	2.42338e-027	26.6227	168.327
0	185	16.3379	2.812	0	28.6268	166.323
0	185	16.3379	3.04	0	30.5838	164.366

0	185	17.7794	0.76	-1.61559e-027	7.99173	186.958
0	185	17.7794	0.988	-1.61559e-027	10.263	184.687
0	185	17.7794	1.216	-8.07794e-028	12.4798	182.47
0	185	17.7794	1.444	8.07794e-028	14.644	180.306
0	185	17.7794	1.672	0	16.7575	178.193
0	185	17.7794	1.9	1.61559e-027	18.8219	176.128
0	185	17.7794	2.128	0	20.8391	174.111
0	185	17.7794	2.356	1.61559e-027	22.8107	172.139
0	185	17.7794	2.584	8.07794e-028	24.738	170.212
0	185	17.7794	2.812	8.07794e-028	26.6227	168.327
0	185	17.7794	3.04	-8.07794e-028	28.4661	166.484

0	185	19.221	0.76	-8.07794e-028	7.41514	187.535
0	185	19.221	0.988	8.07794e-028	9.53093	185.419
0	185	19.221	1.216	0	11.5995	183.35
0	185	19.221	1.444	-8.07794e-028	13.6224	181.328
0	185	19.221	1.672	8.07794e-028	15.6012	179.349
0	185	19.221	1.9	-1.61559e-027	17.5373	177.413
0	185	19.221	2.128	1.61559e-027	19.432	175.518
0	185	19.221	2.356	-1.61559e-027	21.2867	173.663
0	185	19.221	2.584	8.07794e-028	23.1025	171.847
0	185	19.221	2.812	8.07794e-028	24.8808	170.069
0	185	19.221	3.04	2.42338e-027	26.6227	168.327


0	200	4.80525	0.76	-8.07794e-028	26.6227	168.327
0	200	4.80525	0.988	2.42338e-027	33.2474	161.703
0	200	4.80525	1.216	-8.07794e-028	39.3704	155.58
0	200	4.80525	1.444	0	45.0467	149.903
0	200	4.80525	1.672	-1.61559e-027	50.3233	144.627
0	200	4.80525	1.9	0	55.241	139.709
0	200	4.80525	2.128	-8.07794e-028	59.8354	135.115
0	200	4.80525	2.356	8.07794e-028	64.1372	130.813
0	200	4.80525	2.584	0	68.1735	126.777
0	200	4.80525	2.812	-8.07794e-028	71.9682	122.982
0	200	4.80525	3.04	0	75.5423	119.408

0	200	6.24682	0.76	0	21.1454	173.805
0	200	6.24682	0.988	0	26.6227	168.327
0	200	6.24682	1.216	-8.07794e-028	31.7653	163.185
0	200	6.24682	1.444	0	36.6031	158.347
0	200	6.24682	1.672	0	41.1622	153.788
0	200	6.24682	1.9	1.61559e-027	45.4662	149.484
0	200	6.24682	2.128	8.07794e-028	49.5358	145.414
0	200	6.24682	2.356	0	53.3897	141.56
0	200	6.24682	2.584	8.07794e-028	57.0446	137.905
0	200	6.24682	2.812	-8.07794e-028	60.5155	134.434
0	200	6.24682	3.04	8.07794e-028	63.816	131.134

0	200	7.6884	0.76	0	17.5373	177.413
0	200	7.6884	0.988	-8.07794e-028	22.1994	172.751
0	200	7.6884	1.216	0	26.6227	168.327
0	200	7.6884	1.444	0	30.8252	164.125
0	200	7.6884	1.672	-1.61559e-027	34.8229	160.127
0	200	7.6884	1.9	8.07794e-028	38.6305	156.319
0	200	7.6884	2.128	0	42.2613	152.689
0	200	7.6884	2.356	1.61559e-027	45.7272	149.223
0	200	7.6884	2.584	0	49.0393	145.911
0	200	7.6884	2.812	0	52.2075	142.743
0	200	7.6884	3.04	-8.07794e-028	55.241	139.709

0	200	9.12997	0.76	8.07794e-028	14.981	179.969
0	200	9.12997	0.988	-8.07794e-028	19.0365	175.914
0	200	9.12997	1.216	1.61559e-027	22.9132	172.037
0	200	9.12997	1.444	0	26.6227	168.327
0	200	9.12997	1.672	0	30.1756	164.774
0	200	9.12997	1.9	0	33.5817	161.368
0	200	9.12997	2.128	-8.07794e-028	36.8498	158.1
0	200	9.12997	2.356	-8.07794e-028	39.9881	154.962
0	200	9.12997	2.584	-1.61559e-027	43.0043	151.946
0	200	9.12997	2.812	-8.07794e-028	45.9053	149.045
0	200	9.12997	3.04	0	48.6976	146.252

0	200	10.5715	0.76	0	13.0752	181.875
0	200	10.5715	0.988	0	16.6625	178.288
0	200	10.5715	1.216	0	20.111	174.839
0	200	10.5715	1.444	0	23.4286	171.521
0	200	10.5715	1.672	-8.07794e-028	26.6227	168.327
0	200	10.5715	1.9	-8.07794e-028	29.7	165.25
0	200	10.5715	2.128	8.07794e-028	32.6668	162.283
0	200	10.5715	2.356	-1.61559e-027	35.5289	159.421
0	200	10.5715	2.584	0	38.2919	156.658
0	200	10.5715	2.812	0	40.9607	153.989
0	200	10.5715	3.04	0	43.5401	151.41

0	200	12.0131	0.76	-8.07794e-028	11.5995	183.35
0	200	12.0131	0.988	0	14.8149	180.135
0	200	12.0131	1.216	8.07794e-028	17.9195	177.031
0	200	12.0131	1.444	8.07794e-028	20.9189	174.031
0	200	12.0131	1.672	8.07794e-028	23.8183	171.132
0	200	12.0131	1.9	-2.42338e-027	26.6227	168.327
0	200	12.0131	2.128	8.07794e-028	29.3367	165.613
0	200	12.0131	2.356	1.61559e-027	31.9645	162.985
0	200	12.0131	2.584	0	34.5103	160.44
0	200	12.0131	2.812	2.42338e-027	36.9777	157.972
0	200	12.0131	3.04	-8.07794e-028	39.3704	155.58

0	200	13.4547	0.76	0	10.4232	184.527
0	200	13.4547	0.988	8.07794e-028	13.3362	181.614
0	200	13.4547	1.216	1.61559e-027	16.1587	178.791
0	200	13.4547	1.444	-8.07794e-028	18.8948	176.055
0	200	13.4547	1.672	0	21.5484	173.402
0	200	13.4547	1.9	8.07794e-028	24.1232	170.827
0	200	13.4547	2.128	0	26.6227	168.327
0	200	13.4547	2.356	1.61559e-027	29.0501	165.9
0	200	13.4547	2.584	0	31.4085	163.542
0	200	13.4547	2.812	-1.61559e-027	33.7007	161.249
0	200	13.4547	3.04	0	35.9296	159.02

0	200	14.8963	0.76	0	9.46343	185.487
0	200	14.8963	0.988	0	12.1259	182.824
0	200	14.8963	1.216	0	14.713	180.237
0	200	14.8963	1.444	0	17.2278	177.722
0	200	14.8963	1.672	8.07794e-028	19.6735	175.276
0	200	14.8963	1.9	-1.61559e-027	22.0528	172.897
0	200	14.8963	2.128	0	24.3684	170.582
0	200	14.8963	2.356	0	26.6227	168.327
0	200	14.8963	2.584	-1.61559e-027	28.8182	166.132
0	200	14.8963	2.812	-1.61559e-027	30.9572	163.993
0	200	14.8963	3.04	-8.07794e-028	33.0419	161.908

0	200	16.3379	0.76	8.07794e-028	8.66553	186.284
0	200	16.3379	0.988	-8.07794e-028	11.1169	183.833
0	200	16.3379	1.216	0	13.5047	181.445
0	200	16.3379	1.444	8.07794e-028	15.8312	179.119
0	200	16.3379	1.672	0	18.0988	176.851
0	200	16.3379	1.9	-2.42338e-027	20.3097	174.64
0	200	16.3379	2.128	-8.07794e-028	22.466	172.484
0	200	16.3379	2.356	8.07794e-028	24.5697	170.38
0	200	16.3379	2.584	0	26.6227	168.327
0	200	16.3379	2.812	-8.07794e-028	28.6268	166.323
0	200	16.3379	3.04	0	30.5838	164.366

0	200	17.7794	0.76	0	7.99173	186.958
0	200	17.7794	0.988	0	10.263	184.687
0	200	17.7794	1.216	0	12.4798	182.47
0	200	17.7794	1.444	2.42338e-027	14.644	180.306
0	200	17.7794	1.672	8.07794e-028	16.7575	178.193
0	200	17.7794	1.9	-1.61559e-027	18.8219	176.128
0	200	17.7794	2.128	0	20.8391	174.111
0	200	17.7794	2.356	-8.07794e-028	22.8107	172.139
0	200	17.7794	2.584	8.07794e-028	24.738	170.212
0	200	17.7794	2.812	0	26.6227	168.327
0	200	17.7794	3.04	-1.61559e-027	28.4661	166.484

0	200	19.221	0.76	0	7.41514	187.535
0	200	19.221	0.988	-8.07794e-028	9.53093	185.419
0	200	19.221	1.216	8.07794e-028	11.5995	183.35
0	200	19.221	1.444	-1.61559e-027	13.6224	181.328
0	200	19.221	1.672	0	15.6012	179.349
0	200	19.221	1.9	8.07794e-028	17.5373	177.413
0	200	19.221	2.128	1.61559e-027	19.432	175.518
0	200	19.221	2.356	-1.61559e-027	21.2867	173.663
0	200	19.221	2.584	0	23.1025	171.847
0	200	19.221	2.812	0	24.8808	170.069
0	200	19.221	3.04	-1.61559e-027	26.6227	168.327


